itemid,categoryid,view_session_count,cart_session_count,transaction_session_count,ordered_cart_session_count,ordered_purchase_session_count,ordered_view_to_cart_rate,ordered_cart_to_purchase_rate,data_origin
5470,683.0,423,27,5,24,5,0.0567375886524822,0.2083333333333333,real
338660,1051.0,422,26,10,21,7,0.0497630331753554,0.3333333333333333,real
244924,,421,0,0,0,0,0.0,,real
308438,1650.0,420,22,4,15,2,0.0357142857142857,0.1333333333333333,real
170811,48.0,420,13,2,7,0,0.0166666666666666,0.0,real
194791,789.0,419,2,1,2,1,0.0047732696897374,0.5,real
449912,1051.0,418,18,5,12,5,0.0287081339712918,0.4166666666666667,real
215596,48.0,417,20,5,9,3,0.0215827338129496,0.3333333333333333,real
248455,1349.0,416,48,37,45,27,0.1081730769230769,0.6,real
330506,646.0,414,14,4,9,3,0.0217391304347826,0.3333333333333333,real
64951,1051.0,413,13,3,9,2,0.0217917675544794,0.2222222222222222,real
175356,1173.0,413,11,2,9,2,0.0217917675544794,0.2222222222222222,real
268883,1529.0,413,51,29,43,20,0.1041162227602905,0.4651162790697674,real
299677,1205.0,411,13,1,13,0,0.0316301703163017,0.0,real
251349,499.0,410,0,0,0,0,0.0,,real
229204,,408,0,0,0,0,0.0,,real
429571,1589.0,408,0,0,0,0,0.0,,real
203908,1558.0,407,0,0,0,0,0.0,,real
289103,5.0,407,13,9,10,5,0.0245700245700245,0.5,real
38965,858.0,404,27,9,21,7,0.0519801980198019,0.3333333333333333,real
162525,1235.0,404,0,0,0,0,0.0,,real
368060,1120.0,403,17,3,8,2,0.0198511166253101,0.25,real
459475,1625.0,403,19,7,18,3,0.0446650124069478,0.1666666666666666,real
118551,1650.0,402,5,3,5,2,0.0124378109452736,0.4,real
350103,5.0,402,8,5,7,3,0.017412935323383,0.4285714285714285,real
272455,558.0,399,9,5,6,3,0.0150375939849624,0.5,real
156173,,398,0,0,0,0,0.0,,real
80435,34.0,396,19,9,15,5,0.0378787878787878,0.3333333333333333,real
279457,457.0,392,63,7,9,0,0.0229591836734693,0.0,real
424515,683.0,392,11,1,8,1,0.0204081632653061,0.125,real
276245,959.0,391,14,0,10,0,0.0255754475703324,0.0,real
227318,34.0,390,8,3,6,3,0.0153846153846153,0.5,real
186256,646.0,390,8,2,6,1,0.0153846153846153,0.1666666666666666,real
218794,1037.0,389,38,11,26,6,0.0668380462724935,0.2307692307692307,real
215363,239.0,387,10,6,10,3,0.0258397932816537,0.3,real
45707,1483.0,387,0,0,0,0,0.0,,real
139487,56.0,386,0,0,0,0,0.0,,real
229857,928.0,386,0,0,0,0,0.0,,real
340825,34.0,385,9,5,9,5,0.0233766233766233,0.5555555555555556,real
192710,533.0,384,0,0,0,0,0.0,,real
342530,984.0,382,21,5,15,3,0.0392670157068062,0.2,real
250901,398.0,380,0,0,0,0,0.0,,real
444593,926.0,380,9,3,6,2,0.0157894736842105,0.3333333333333333,real
114866,1318.0,379,0,0,0,0,0.0,,real
464731,1219.0,379,29,10,24,7,0.0633245382585752,0.2916666666666667,real
57788,1483.0,378,19,5,12,5,0.0317460317460317,0.4166666666666667,real
23762,84.0,378,34,15,22,13,0.0582010582010582,0.5909090909090909,real
46130,1483.0,378,30,7,17,4,0.0449735449735449,0.2352941176470588,real
321905,1051.0,377,20,2,11,2,0.0291777188328912,0.1818181818181818,real
204494,1051.0,377,26,10,17,8,0.0450928381962864,0.4705882352941176,real
414460,821.0,376,4,3,4,3,0.0106382978723404,0.75,real
193359,,376,0,0,0,0,0.0,,real
244252,1205.0,375,4,0,4,0,0.0106666666666666,0.0,real
48704,1265.0,375,0,0,0,0,0.0,,real
190070,1613.0,375,12,2,9,1,0.024,0.1111111111111111,real
75075,1390.0,374,0,0,0,0,0.0,,real
251970,,373,0,0,0,0,0.0,,real
286481,927.0,372,0,0,0,0,0.0,,real
103156,406.0,372,7,2,7,2,0.0188172043010752,0.2857142857142857,real
54502,1339.0,371,0,0,0,0,0.0,,real
218746,707.0,369,40,5,25,4,0.067750677506775,0.16,real
280375,1173.0,369,14,3,6,3,0.016260162601626,0.5,real
379520,29.0,366,34,16,30,12,0.081967213114754,0.4,real
273936,1293.0,366,0,0,0,0,0.0,,real
68000,1613.0,363,11,1,11,1,0.0303030303030303,0.0909090909090909,real
302563,48.0,363,9,1,5,1,0.0137741046831955,0.2,real
11663,1192.0,363,11,3,7,3,0.0192837465564738,0.4285714285714285,real
61303,1172.0,363,21,4,8,1,0.0220385674931129,0.125,real
11279,5.0,363,20,10,16,9,0.0440771349862259,0.5625,real
380971,926.0,362,15,4,12,1,0.0331491712707182,0.0833333333333333,real
235047,167.0,361,16,5,10,3,0.0277008310249307,0.3,real
344723,342.0,361,27,3,13,1,0.0360110803324099,0.0769230769230769,real
360487,683.0,361,19,4,12,4,0.0332409972299169,0.3333333333333333,real
245818,48.0,361,0,0,0,0,0.0,,real
460133,1265.0,360,0,0,0,0,0.0,,real
448453,1089.0,359,31,15,31,14,0.0863509749303621,0.4516129032258064,real
46156,720.0,358,46,28,45,26,0.1256983240223463,0.5777777777777777,real
369158,470.0,358,23,18,6,2,0.0167597765363128,0.3333333333333333,real
85914,928.0,357,14,8,13,6,0.0364145658263305,0.4615384615384615,real
382751,683.0,356,16,2,13,1,0.0365168539325842,0.0769230769230769,real
17108,124.0,356,11,5,10,4,0.0280898876404494,0.4,real
428085,,356,0,0,0,0,0.0,,real
323194,1613.0,354,4,0,3,0,0.0084745762711864,0.0,real
255725,1279.0,353,10,3,8,3,0.0226628895184136,0.375,real
132683,421.0,352,34,15,31,11,0.0880681818181818,0.3548387096774194,real
198996,499.0,352,0,0,0,0,0.0,,real
344071,589.0,350,18,7,9,3,0.0257142857142857,0.3333333333333333,real
447995,94.0,349,1,1,1,1,0.0028653295128939,1.0,real
56323,411.0,348,8,3,6,2,0.0172413793103448,0.3333333333333333,real
20981,406.0,348,4,1,4,1,0.0114942528735632,0.25,real
190536,5.0,348,14,2,7,1,0.0201149425287356,0.1428571428571428,real
461061,1303.0,347,0,0,0,0,0.0,,real
212045,,347,0,0,0,0,0.0,,real
199657,463.0,346,0,0,0,0,0.0,,real
328696,1051.0,346,14,1,4,1,0.0115606936416184,0.25,real
393744,,346,0,0,0,0,0.0,,real
348596,1186.0,346,0,0,0,0,0.0,,real
455006,1322.0,345,5,1,4,1,0.0115942028985507,0.25,real
413990,1295.0,345,5,1,5,1,0.0144927536231884,0.2,real
432152,683.0,344,17,4,11,3,0.0319767441860465,0.2727272727272727,real
259884,299.0,276,10,4,10,2,0.036231884057971,0.2,real
29940,299.0,196,9,5,8,5,0.0408163265306122,0.625,real
48072,299.0,99,2,0,2,0,0.0202020202020202,0.0,real
325215,299.0,95,3,2,3,2,0.031578947368421,0.6666666666666666,real
441734,299.0,76,1,1,1,1,0.0131578947368421,1.0,real
140853,299.0,57,2,1,0,0,0.0,,real
378290,299.0,46,0,0,0,0,0.0,,real
30573,299.0,45,1,0,0,0,0.0,,real
172103,299.0,44,3,2,2,2,0.0454545454545454,1.0,real
444163,299.0,42,1,1,0,0,0.0,,real
4052,299.0,33,0,0,0,0,0.0,,real
27062,299.0,28,0,0,0,0,0.0,,real
284015,299.0,23,0,0,0,0,0.0,,real
136560,299.0,18,0,0,0,0,0.0,,real
55777,299.0,16,0,0,0,0,0.0,,real
28670,299.0,10,0,0,0,0,0.0,,real
140170,299.0,10,0,0,0,0,0.0,,real
423831,299.0,9,0,0,0,0,0.0,,real
224848,299.0,8,0,0,0,0,0.0,,real
231413,299.0,7,0,0,0,0,0.0,,real
16040,299.0,7,0,0,0,0,0.0,,real
177017,299.0,6,0,0,0,0,0.0,,real
357801,299.0,6,0,0,0,0,0.0,,real
267147,299.0,5,0,0,0,0,0.0,,real
140706,299.0,4,0,0,0,0,0.0,,real
177360,299.0,4,0,0,0,0,0.0,,real
277064,299.0,4,0,0,0,0,0.0,,real
219675,299.0,4,0,0,0,0,0.0,,real
106504,299.0,4,0,0,0,0,0.0,,real
367332,299.0,3,0,0,0,0,0.0,,real
308776,299.0,3,0,0,0,0,0.0,,real
144155,299.0,2,0,0,0,0,0.0,,real
318136,299.0,2,0,0,0,0,0.0,,real
134105,299.0,2,0,0,0,0,0.0,,real
229680,299.0,1,0,0,0,0,0.0,,real
