activity_date,session_count,active_visitors,average_events_per_session,median_events_per_session,p75_events_per_session,average_items_per_session,median_items_per_session,p75_items_per_session,average_session_duration_seconds,median_session_duration_seconds,p75_session_duration_seconds,data_origin
2015-06-02,14539,13523,1.6038241969874132,1.0,1.0,1.3555952954123391,1.0,1.0,106.4260953298026,0.0,0.0,real
2015-06-03,14398,13405,1.6430059730518127,1.0,1.0,1.3666481455757744,1.0,1.0,111.18113626892624,0.0,0.0,real
2015-06-04,14047,13072,1.6844166014095536,1.0,1.0,1.379013312451057,1.0,1.0,120.06278920766,0.0,0.0,real
2015-06-05,12971,12121,1.5960218949965308,1.0,1.0,1.3547914578675506,1.0,1.0,106.1821756225426,0.0,0.0,real
2015-06-06,10279,9681,1.5681486525926647,1.0,1.0,1.341083763011966,1.0,1.0,97.68138924019846,0.0,0.0,real
2015-06-07,10023,9408,1.6119924174398883,1.0,1.0,1.3636635737803053,1.0,1.0,100.2582061259104,0.0,0.0,real
2015-06-08,13368,12510,1.571214841412328,1.0,1.0,1.3280969479353681,1.0,1.0,105.16846199880311,0.0,0.0,real
2015-06-09,14660,13668,1.6156889495225102,1.0,1.0,1.3754433833560709,1.0,1.0,109.85845839017735,0.0,0.0,real
2015-06-10,14923,13979,1.608389733967701,1.0,1.0,1.3572338001742277,1.0,1.0,104.3768679219996,0.0,0.0,real
2015-06-11,13234,12373,1.5771497657548739,1.0,1.0,1.3357261598911894,1.0,1.0,96.75585612815475,0.0,0.0,real
2015-06-12,9848,9263,1.6095653939886272,1.0,1.0,1.3575345247766044,1.0,1.0,105.1691714053615,0.0,0.0,real
2015-06-13,7949,7455,1.537677695307586,1.0,1.0,1.3122405334004277,1.0,1.0,90.90262926154233,0.0,0.0,real
2015-06-14,8907,8399,1.588862692264511,1.0,1.0,1.3482654092286965,1.0,1.0,103.24048501178848,0.0,0.0,real
2015-06-15,13479,12542,1.6617701609911715,1.0,1.0,1.3848950218858966,1.0,1.0,119.7651161065361,0.0,0.0,real
2015-06-16,14659,13637,1.681697250835664,1.0,1.0,1.386452009004707,1.0,1.0,118.62227982809196,0.0,0.0,real
2015-06-17,14428,13377,1.6510257831993347,1.0,1.0,1.376836706404214,1.0,1.0,121.42604657610202,0.0,0.0,real
2015-06-18,14103,13105,1.6572360490675744,1.0,1.0,1.3731830107069418,1.0,1.0,122.69857477132526,0.0,0.0,real
2015-06-19,12363,11489,1.6620561352422552,1.0,1.0,1.3918951710749818,1.0,1.0,116.5938688020707,0.0,0.0,real
2015-06-20,9400,8805,1.661063829787234,1.0,1.0,1.3914893617021276,1.0,1.0,111.7718085106383,0.0,0.0,real
2015-06-21,9940,9325,1.5682092555331992,1.0,1.0,1.332394366197183,1.0,1.0,98.24034205231388,0.0,0.0,real
2015-06-22,13779,12823,1.696204368967269,1.0,1.0,1.4058349662529936,1.0,1.0,126.43805791421728,0.0,0.0,real
2015-06-23,14099,13081,1.6800482303709483,1.0,1.0,1.4040002837080645,1.0,1.0,118.88907014681892,0.0,0.0,real
2015-06-24,13350,12434,1.6325093632958803,1.0,1.0,1.3628464419475654,1.0,1.0,115.19438202247191,0.0,0.0,real
2015-06-25,12616,11771,1.6083544705136334,1.0,1.0,1.349159797083069,1.0,1.0,107.10843373493977,0.0,0.0,real
2015-06-26,12478,11719,1.5912005129027087,1.0,1.0,1.3392370572207084,1.0,1.0,101.90615483250521,0.0,0.0,real
2015-06-27,9640,9086,1.6089211618257262,1.0,1.0,1.3598547717842324,1.0,1.0,104.75632780082988,0.0,0.0,real
2015-06-28,10785,10117,1.5902642559109874,1.0,1.0,1.3480760315252667,1.0,1.0,101.9612424663885,0.0,0.0,real
2015-06-29,14169,13179,1.627143764556426,1.0,1.0,1.371938739501729,1.0,1.0,110.96661726303903,0.0,0.0,real
2015-06-30,13499,12554,1.5822653529891102,1.0,1.0,1.330987480554115,1.0,1.0,107.33476553818801,0.0,0.0,real
2015-07-01,13048,12145,1.5918914776210913,1.0,1.0,1.344880441446965,1.0,1.0,108.20746474555487,0.0,0.0,real
2015-07-02,13294,12452,1.6159921769219197,1.0,1.0,1.3646757935910938,1.0,1.0,110.05686775989167,0.0,0.0,real
2015-07-03,12769,11849,1.624716109327277,1.0,1.0,1.3896154749784635,1.0,1.0,104.2727699898191,0.0,0.0,real
2015-07-04,9908,9295,1.61324182478805,1.0,1.0,1.3753532498990715,1.0,1.0,105.28249899071457,0.0,0.0,real
2015-07-05,9829,9180,1.6054532505850037,1.0,1.0,1.3529351917794281,1.0,1.0,99.15169396683284,0.0,0.0,real
2015-07-06,13707,12763,1.6363901656088131,1.0,1.0,1.3785656963595243,1.0,1.0,114.16050193331874,0.0,0.0,real
2015-07-07,14748,13717,1.6562245728234337,1.0,1.0,1.4014103607268782,1.0,1.0,114.05749932194196,0.0,0.0,real
2015-07-08,15144,14145,1.6547807712625462,1.0,1.0,1.3939513998943476,1.0,1.0,117.04318541996831,0.0,0.0,real
2015-07-09,15116,14047,1.6584413866102143,1.0,1.0,1.3866102143424186,1.0,1.0,114.85115109817411,0.0,0.0,real
2015-07-10,15045,14124,1.5195081422399468,1.0,1.0,1.3152542372881355,1.0,1.0,95.4123629112662,0.0,0.0,real
2015-07-11,15232,14583,1.3702731092436975,1.0,1.0,1.2228203781512605,1.0,1.0,66.49638918067227,0.0,0.0,real
2015-07-12,15349,14690,1.3757899537429148,1.0,1.0,1.2211870480161573,1.0,1.0,65.84513649097661,0.0,0.0,real
2015-07-13,17440,16498,1.4986238532110092,1.0,1.0,1.2934633027522935,1.0,1.0,92.69787844036698,0.0,0.0,real
2015-07-14,17284,16293,1.5613862531821339,1.0,1.0,1.337016894237445,1.0,1.0,94.74114788243462,0.0,0.0,real
2015-07-15,15834,14919,1.510862700517873,1.0,1.0,1.3000505241884552,1.0,1.0,92.1345838069976,0.0,0.0,real
2015-07-16,13916,12991,1.5529606208680655,1.0,1.0,1.324302960620868,1.0,1.0,99.01365334866341,0.0,0.0,real
2015-07-17,13564,12835,1.486582129165438,1.0,1.0,1.2926127985844884,1.0,1.0,90.24542907696845,0.0,0.0,real
2015-07-18,10725,10092,1.5464801864801865,1.0,1.0,1.3315617715617716,1.0,1.0,97.97939393939394,0.0,0.0,real
2015-07-19,11105,10462,1.5048176497073391,1.0,1.0,1.2841963079693832,1.0,1.0,89.09058982440342,0.0,0.0,real
2015-07-20,16287,15278,1.5607539755633326,1.0,1.0,1.3252901086756308,1.0,1.0,106.37625099772825,0.0,0.0,real
2015-07-21,15267,14188,1.5424772384882426,1.0,1.0,1.3197746774087902,1.0,1.0,111.32750376629332,0.0,0.0,real
2015-07-22,14322,13289,1.5645859516827259,1.0,1.0,1.316366429269655,1.0,1.0,116.65081692501047,0.0,0.0,real
2015-07-23,13916,12988,1.5454872089680942,1.0,1.0,1.324302960620868,1.0,1.0,109.78592986490371,0.0,0.0,real
2015-07-24,15376,14518,1.4780827263267429,1.0,1.0,1.2968262226847034,1.0,1.0,95.1520551508845,0.0,0.0,real
2015-07-25,16645,15558,1.6363472514268549,1.0,1.0,1.4114148392910784,1.0,1.0,122.89161910483628,0.0,0.0,real
2015-07-26,18979,17492,1.7200590125928659,1.0,2.0,1.4728384003372148,1.0,1.0,143.6353337899784,0.0,42.0,real
2015-07-27,17234,15986,1.6517929673900429,1.0,2.0,1.3953231983288847,1.0,1.0,127.9807357549031,0.0,8.0,real
2015-07-28,14218,13178,1.5491630327753552,1.0,1.0,1.316851877901252,1.0,1.0,112.77697285131524,0.0,0.0,real
2015-07-29,15090,14098,1.5368455931080185,1.0,1.0,1.3145129224652088,1.0,1.0,119.22226640159046,0.0,0.0,real
2015-07-30,13657,12721,1.5359888701764663,1.0,1.0,1.3201288716409167,1.0,1.0,112.7510434209563,0.0,0.0,real
2015-07-31,12546,11745,1.500876773473617,1.0,1.0,1.2934799936234656,1.0,1.0,101.30838514267495,0.0,0.0,real
2015-08-01,10530,9935,1.4700854700854702,1.0,1.0,1.2750237416904084,1.0,1.0,92.38252611585945,0.0,0.0,real
2015-08-02,10087,9519,1.5072866065232478,1.0,1.0,1.2914642609299098,1.0,1.0,98.89709527114107,0.0,0.0,real
2015-08-03,13967,13052,1.5247368797880718,1.0,1.0,1.3041454857879287,1.0,1.0,108.21407603637145,0.0,0.0,real
2015-08-04,13761,12768,1.5418210885836785,1.0,1.0,1.3136399970932344,1.0,1.0,110.38594578882349,0.0,0.0,real
2015-08-05,13582,12660,1.4977911942276543,1.0,1.0,1.2857458400824622,1.0,1.0,102.93226328964806,0.0,0.0,real
2015-08-06,13842,12966,1.4727640514376534,1.0,1.0,1.2725039734142465,1.0,1.0,97.21897124692964,0.0,0.0,real
2015-08-07,12650,11841,1.5228458498023716,1.0,1.0,1.3094861660079051,1.0,1.0,103.68229249011857,0.0,0.0,real
2015-08-08,8793,8260,1.4582053906516548,1.0,1.0,1.2744228363470942,1.0,1.0,86.22335949050381,0.0,0.0,real
2015-08-09,9038,8582,1.4507634432396548,1.0,1.0,1.2669838459836247,1.0,1.0,82.06992697499447,0.0,0.0,real
2015-08-10,11998,11280,1.5368394732455408,1.0,1.0,1.3223870645107518,1.0,1.0,107.58968161360227,0.0,0.0,real
2015-08-11,12401,11649,1.4683493266672043,1.0,1.0,1.2833642448189662,1.0,1.0,93.31594226272075,0.0,0.0,real
2015-08-12,13570,12797,1.4817243920412675,1.0,1.0,1.2803242446573324,1.0,1.0,98.62188651436993,0.0,0.0,real
2015-08-13,13069,12217,1.4675950723085163,1.0,1.0,1.2700283112709465,1.0,1.0,95.54357640217309,0.0,0.0,real
2015-08-14,11339,10625,1.4968692124525973,1.0,1.0,1.289267131140312,1.0,1.0,96.52650145515477,0.0,0.0,real
2015-08-15,8997,8481,1.4790485717461377,1.0,1.0,1.276647771479382,1.0,1.0,89.3894631543848,0.0,0.0,real
2015-08-16,9885,9335,1.4749620637329286,1.0,1.0,1.278806272129489,1.0,1.0,95.00526049570055,0.0,0.0,real
2015-08-17,13600,12723,1.5366176470588235,1.0,1.0,1.3116176470588234,1.0,1.0,109.39625,0.0,0.0,real
2015-08-18,13605,12724,1.5169423006247702,1.0,1.0,1.2940095553105475,1.0,1.0,107.82594634325615,0.0,0.0,real
2015-08-19,13205,12333,1.5184399848542218,1.0,1.0,1.2981446421809921,1.0,1.0,104.43415372964786,0.0,0.0,real
2015-08-20,12350,11509,1.5557894736842106,1.0,1.0,1.3218623481781377,1.0,1.0,113.53433198380567,0.0,0.0,real
2015-08-21,11844,11054,1.500759878419453,1.0,1.0,1.2823370482944951,1.0,1.0,103.00363053022627,0.0,0.0,real
2015-08-22,9569,8962,1.4858396906677813,1.0,1.0,1.2828926742606332,1.0,1.0,96.62786080050162,0.0,0.0,real
2015-08-23,9646,9077,1.4474393530997305,1.0,1.0,1.253576612067178,1.0,1.0,88.30396019075265,0.0,0.0,real
2015-08-24,12569,11776,1.4953456917813668,1.0,1.0,1.2761556209722333,1.0,1.0,105.6315538228976,0.0,0.0,real
2015-08-25,12927,12054,1.5230912044557903,1.0,1.0,1.312292101802429,1.0,1.0,103.9221783863232,0.0,0.0,real
2015-08-26,12397,11506,1.5277083165281924,1.0,1.0,1.3079777365491652,1.0,1.0,108.54376058723885,0.0,0.0,real
2015-08-27,12921,12132,1.515362588034982,1.0,1.0,1.2931661636096277,1.0,1.0,102.1219719835926,0.0,0.0,real
2015-08-28,12840,11993,1.5238317757009345,1.0,1.0,1.3186915887850468,1.0,1.0,101.19205607476636,0.0,0.0,real
2015-08-29,9903,9331,1.5078259113399979,1.0,1.0,1.2952640613955366,1.0,1.0,94.93305059073008,0.0,0.0,real
2015-08-30,10573,9896,1.5438380781235221,1.0,1.0,1.3060626123143857,1.0,1.0,104.45928307954223,0.0,0.0,real
2015-08-31,12598,11773,1.48285442133672,1.0,1.0,1.2775837434513415,1.0,1.0,98.24003810128592,0.0,0.0,real
2015-09-01,12000,11261,1.50675,1.0,1.0,1.302,1.0,1.0,99.42841666666666,0.0,0.0,real
2015-09-02,11761,11004,1.4952810135192585,1.0,1.0,1.2969985545446816,1.0,1.0,98.31842530397076,0.0,0.0,real
2015-09-03,12330,11597,1.4607461476074615,1.0,1.0,1.267477696674777,1.0,1.0,94.34898621248986,0.0,0.0,real
2015-09-04,11777,11028,1.4999575443661375,1.0,1.0,1.2873397299821687,1.0,1.0,102.33531459624692,0.0,0.0,real
2015-09-05,9621,9050,1.4949589439767177,1.0,1.0,1.2991373038145724,1.0,1.0,96.76904687662405,0.0,0.0,real
2015-09-06,9895,9304,1.4715512885295603,1.0,1.0,1.2696311268317333,1.0,1.0,93.19019706922688,0.0,0.0,real
2015-09-07,13017,12218,1.5237765998309902,1.0,1.0,1.3046016747330413,1.0,1.0,105.24598601828379,0.0,0.0,real
2015-09-08,13718,12901,1.5222335617436944,1.0,1.0,1.308791369004228,1.0,1.0,104.32548476454294,0.0,0.0,real
2015-09-09,13929,13044,1.5652954268073802,1.0,1.0,1.3485533778447842,1.0,1.0,110.8952545049896,0.0,0.0,real
2015-09-10,14944,14060,1.4987955032119915,1.0,1.0,1.3092210920770877,1.0,1.0,99.75133832976445,0.0,0.0,real
2015-09-11,13922,13063,1.5438155437437149,1.0,1.0,1.3294785232006896,1.0,1.0,105.55035196092516,0.0,0.0,real
2015-09-12,10571,9935,1.4697758017216913,1.0,1.0,1.2782139816479046,1.0,1.0,94.62037650175007,0.0,0.0,real
2015-09-13,11448,10751,1.4737071977638014,1.0,1.0,1.2785639412997905,1.0,1.0,92.24231306778476,0.0,0.0,real
2015-09-14,14246,13371,1.462656184192054,1.0,1.0,1.2730591043099817,1.0,1.0,96.18566615190228,0.0,0.0,real
2015-09-15,13502,12673,1.5143682417419642,1.0,1.0,1.308769071248704,1.0,1.0,102.4352688490594,0.0,0.0,real
2015-09-16,7289,6815,1.5751131842502402,1.0,1.0,1.3643846892577858,1.0,1.0,120.13664425847168,0.0,0.0,real
2015-09-17,6714,6263,1.5017873100983021,1.0,1.0,1.3118856121537086,1.0,1.0,106.22400953232052,0.0,0.0,real
2015-09-18,1034,1010,1.460348162475822,1.0,1.0,1.2504835589941974,1.0,1.0,92.55125725338492,0.0,0.0,real
