activity_date,daily_active_visitors,rolling_7d_active_visitors,rolling_30d_active_visitors,first_observed_visitors,returning_visitors,viewing_visitors,carting_visitors,purchasing_visitors,dau_mau_stickiness,purchasing_visitor_rate,data_origin
2015-05-26,12781,80258,257733,11021,1760,12748,355,120,0.04959007965607819,0.009388936702918394,real
2015-05-27,12827,79804,268833,11100,1727,12799,324,115,0.04771363634672827,0.008965463475481406,real
2015-05-28,12955,79962,280055,11222,1733,12918,319,122,0.04625877059863241,0.00941721343110768,real
2015-05-29,11956,79558,290364,10309,1647,11935,261,76,0.0411759033489,0.006356641017062563,real
2015-05-30,9684,79616,298837,8473,1211,9661,232,67,0.032405625809387724,0.006918628665840562,real
2015-05-31,9936,79189,307568,8731,1205,9902,250,66,0.032305051240701245,0.006642512077294686,real
2015-06-01,13256,78417,319075,11507,1749,13223,324,117,0.041545091279479744,0.008826191913095957,real
2015-06-02,13534,79149,323943,11673,1861,13506,335,132,0.041778954939603576,0.009753214127382887,real
2015-06-03,13414,79661,325901,11492,1922,13386,352,115,0.041159738693652366,0.008573132548084091,real
2015-06-04,13088,79678,325957,11180,1908,13069,407,117,0.04015253545713085,0.008939486552567237,real
2015-06-05,12137,79756,324650,10359,1778,12115,275,86,0.03738487602032958,0.00708577078355442,real
2015-06-06,9698,79790,321805,8331,1367,9676,230,58,0.030136262643526358,0.005980614559703032,real
2015-06-07,9422,79272,320557,8171,1251,9404,212,68,0.029392588525597632,0.007217151347909149,real
2015-06-08,12520,78571,324821,10734,1786,12487,309,109,0.03854430594081048,0.008706070287539936,real
2015-06-09,13684,78769,330284,11754,1930,13654,311,79,0.04143101088759976,0.0057731657410114,real
2015-06-10,13994,79355,334106,11964,2030,13980,344,115,0.041884910776819335,0.008217807631842218,real
2015-06-11,12386,78736,333637,10549,1837,12364,303,82,0.03712417987213648,0.006620377845955111,real
2015-06-12,9280,76112,330177,7958,1322,9264,213,61,0.028106137011360572,0.006573275862068966,real
2015-06-13,7465,74061,324959,6360,1105,7453,180,45,0.022972128791632174,0.006028131279303416,real
2015-06-14,8405,73172,321451,7265,1140,8385,213,62,0.026147064404839306,0.007376561570493754,real
2015-06-15,12558,73154,322431,10661,1897,12533,357,112,0.0389478679159262,0.008918617614269788,real
2015-06-16,13652,73141,323736,11577,2075,13607,463,163,0.042170163342970815,0.01193964254321711,real
2015-06-17,13392,72488,321986,11344,2048,13361,421,158,0.04159187045399489,0.011798088410991637,real
2015-06-18,13113,73042,319904,11097,2016,13087,389,134,0.04099042212663799,0.010218866773430946,real
2015-06-19,11503,74979,318346,9701,1802,11479,310,86,0.036133640755655796,0.007476310527688429,real
2015-06-20,8818,76150,314907,7456,1362,8800,218,56,0.02800191802659198,0.0063506464050805175,real
2015-06-21,9337,76995,312309,7922,1415,9322,217,56,0.029896672846443748,0.005997643782799615,real
2015-06-22,12834,77291,314938,10785,2049,12803,359,144,0.04075087795058075,0.011220196353436185,real
2015-06-23,13098,76789,317051,10990,2108,13062,402,146,0.04131196558282421,0.011146739960299282,real
2015-06-24,12451,75984,315468,10480,1971,12415,369,109,0.039468345442326955,0.008754316922335555,real
2015-06-25,11793,74706,314549,9873,1920,11760,344,130,0.03749177393665216,0.01102348851013313,real
2015-06-26,11734,74849,313542,9856,1878,11709,307,109,0.037424013369819674,0.009289244929265382,real
2015-06-27,9098,75184,310148,7753,1345,9077,210,53,0.029334382294904367,0.005825456144207518,real
2015-06-28,10131,75970,308646,8663,1468,10101,231,57,0.03282401197488385,0.005626295528575659,real
2015-06-29,13190,76351,311681,11160,2030,13155,332,126,0.04231890939774962,0.009552691432903715,real
2015-06-30,12569,75908,313829,10572,1997,12540,318,96,0.04005047334695009,0.007637839128013366,real
2015-07-01,12157,75611,312788,10150,2007,12126,308,124,0.038866580559356496,0.01019988484000987,real
2015-07-02,12460,76260,311899,10526,1934,12429,304,101,0.03994882958906569,0.00810593900481541,real
2015-07-03,11859,76331,310522,9939,1920,11831,275,95,0.03819053078364818,0.008010793490176237,real
2015-07-04,9310,76619,307414,7969,1341,9286,211,60,0.030284892685433974,0.00644468313641246,real
2015-07-05,9193,75833,304974,7830,1363,9164,259,57,0.03014355322093031,0.00620036984662243,real
2015-07-06,12778,75432,307579,10652,2126,12742,369,129,0.04154379850379902,0.010095476600406949,real
2015-07-07,13731,76543,311233,11461,2270,13685,418,136,0.04411807231238333,0.00990459544097298,real
2015-07-08,14161,78359,312574,11863,2298,14125,381,136,0.04530447190105383,0.009603841536614645,real
2015-07-09,14062,79733,312884,11704,2358,14032,377,124,0.04494317382800015,0.008818091309913241,real
2015-07-10,14138,81841,313018,11973,2165,14099,325,102,0.04516673162565731,0.007214598953175838,real
2015-07-11,14595,87061,315554,13055,1540,14576,224,58,0.046251988566140816,0.003973963686193902,real
2015-07-12,14699,92607,321024,13233,1466,14678,236,59,0.0457878538676236,0.0040138784951357235,real
2015-07-13,16515,96451,329298,14314,2201,16473,379,134,0.05015214182898165,0.008113835906751438,real
2015-07-14,16306,99036,336444,14003,2303,16265,382,120,0.048465717920367135,0.00735925426223476,real
2015-07-15,14932,99921,338797,12711,2221,14890,343,110,0.04407358978975611,0.0073667291722475225,real
2015-07-16,13005,99016,338303,10863,2142,12966,323,113,0.0384418701578171,0.008688965782391388,real
2015-07-17,12839,97809,338152,10964,1875,12803,266,75,0.03796813267406374,0.005841576446763767,real
2015-07-18,10102,93351,335711,8615,1487,10072,228,59,0.030091358340953975,0.005840427638091467,real
2015-07-19,10472,89180,335104,9091,1381,10452,240,73,0.03125,0.006970970206264324,real
2015-07-20,15288,87971,341022,13022,2266,15246,410,138,0.044829952319791685,0.00902668759811617,real
2015-07-21,14212,85813,345219,11858,2354,14163,391,130,0.0411680701236027,0.00914719954967633,real
2015-07-22,13302,84166,345641,11053,2249,13261,427,139,0.03848501769176689,0.010449556457675537,real
2015-07-23,13000,83998,345657,10831,2169,12953,385,115,0.0376095377787807,0.008846153846153846,real
2015-07-24,14540,85560,347796,12409,2131,14513,279,71,0.041806116229053815,0.004883081155433288,real
2015-07-25,15571,90959,351827,13832,1739,15542,261,60,0.04425754703305886,0.0038533170637723973,real
2015-07-26,17516,97606,357356,15254,2262,17489,278,76,0.04901554752123932,0.004338890157570221,real
2015-07-27,16015,97971,363288,13304,2711,15978,400,141,0.04408348197573275,0.008804246019356853,real
2015-07-28,13189,96933,365862,10892,2297,13148,421,158,0.036049111413593106,0.011979680036393965,real
2015-07-29,14112,97747,366787,11937,2175,14074,377,137,0.0384746460479788,0.009708049886621314,real
2015-07-30,12736,97527,367016,10618,2118,12692,329,117,0.03470148440394969,0.009186557788944723,real
2015-07-31,11770,94776,366715,9831,1939,11734,317,93,0.032095769194060784,0.007901444350042482,real
2015-08-01,9947,89628,364656,8451,1496,9909,239,51,0.02727776315212145,0.005127174022318287,real
2015-08-02,9532,82235,362803,8157,1375,9498,242,68,0.026273211632759377,0.007133864876206463,real
2015-08-03,13066,79526,366203,10973,2093,13017,360,118,0.03567966401149089,0.009031073013929282,real
2015-08-04,12794,79204,369333,10592,2202,12759,344,130,0.03464082548810964,0.010161012974831952,real
2015-08-05,12675,77758,369351,10503,2172,12632,358,137,0.034316950542979445,0.010808678500986194,real
2015-08-06,12984,77968,368881,10900,2084,12937,344,84,0.03519834309709635,0.006469500924214418,real
2015-08-07,11851,77959,366888,9819,2032,11819,300,99,0.03230141078476265,0.00835372542401485,real
2015-08-08,8272,76308,362010,6934,1338,8238,191,36,0.022850197508356124,0.004352030947775629,real
2015-08-09,8588,75463,357181,7360,1228,8562,178,44,0.024043832118729718,0.005123428039124359,real
2015-08-10,11287,73877,353731,9457,1830,11260,270,68,0.03190842759045716,0.006024630105431027,real
2015-08-11,11664,72825,350410,9724,1940,11630,257,89,0.03328672126937016,0.007630315500685871,real
2015-08-12,12806,73185,347043,10919,1887,12769,295,93,0.036900326472512054,0.00726222083398407,real
2015-08-13,12229,72460,343276,10232,1997,12188,284,81,0.03562439553012736,0.006623599640199525,real
2015-08-14,10637,71308,339382,8832,1805,10603,279,87,0.031342263290333607,0.008178997837736204,real
2015-08-15,8493,71541,335410,7133,1360,8467,205,48,0.025321248621090607,0.00565171317555634,real
2015-08-16,9339,72270,332425,7992,1347,9311,241,56,0.02809355493720388,0.005996359353249813,real
2015-08-17,12739,73663,334689,10653,2086,12709,364,125,0.038062201028417425,0.009812387157547689,real
2015-08-18,12741,74534,336522,10551,2190,12701,339,115,0.03786082336370282,0.009025979122517855,real
2015-08-19,12347,74057,333913,10282,2065,12311,304,118,0.03697669752300749,0.009556977403417835,real
2015-08-20,11526,73308,331561,9482,2044,11496,313,114,0.034762833988315874,0.00989068193649141,real
2015-08-21,11070,73622,329575,9136,1934,11031,273,75,0.03358871273609952,0.006775067750677507,real
2015-08-22,8977,74047,326106,7477,1500,8949,206,63,0.02752785903969875,0.007017934722067506,real
2015-08-23,9091,73799,321172,7679,1412,9066,218,66,0.02830570535414046,0.0072599274007259925,real
2015-08-24,11785,72988,317612,9757,2028,11751,321,109,0.03710502122086067,0.009249045396690709,real
2015-08-25,12068,72327,312431,9955,2113,12029,328,100,0.03862612864920575,0.008286377195889956,real
2015-08-26,11520,71509,308238,9432,2088,11488,330,111,0.03737371771163841,0.009635416666666667,real
2015-08-27,12145,72123,307336,10005,2140,12104,294,113,0.039517010698388734,0.009304240428159737,real
2015-08-28,12005,72949,305302,9941,2064,11959,351,88,0.03932172078794112,0.007330279050395669,real
2015-08-29,9346,73315,302353,7827,1519,9316,225,54,0.03091088892784262,0.00577787288679649,real
2015-08-30,9903,74138,300852,8415,1488,9868,309,101,0.032916517091460255,0.01019892961728769,real
2015-08-31,11787,74138,302332,9750,2037,11740,302,107,0.03898694150801106,0.009077797573598032,real
2015-09-01,11276,73404,303700,9300,1976,11244,266,82,0.03712874547250576,0.0072720822986874776,real
2015-09-02,11017,72924,301822,9016,2001,10974,268,88,0.036501646665915675,0.00798765544159027,real
2015-09-03,11611,72479,300823,9628,1983,11567,279,82,0.03859744766856257,0.0070622685384549135,real
2015-09-04,11044,71528,299437,9099,1945,11000,268,83,0.03688254958472066,0.0075153929735603045,real
2015-09-05,9059,71277,296024,7666,1393,9029,192,56,0.030602248466340565,0.006181697759134562,real
2015-09-06,9318,70738,293895,7866,1452,9281,221,54,0.03170520083703363,0.005795235028976175,real
2015-09-07,12230,71182,297327,10078,2152,12198,298,115,0.04113316315033616,0.009403107113654947,real
2015-09-08,12914,72728,300955,10660,2254,12871,319,101,0.042910069611735976,0.007820969490475452,real
2015-09-09,13066,74622,302504,10704,2362,13026,347,120,0.04319281728506069,0.009184142048063677,real
2015-09-10,14075,77002,304623,11596,2479,14030,322,108,0.04620465296448397,0.0076731793960923625,real
2015-09-11,13079,78843,304795,10704,2375,13024,348,106,0.042910808904345545,0.008104595152534597,real
2015-09-12,9943,79651,302806,8349,1594,9917,250,67,0.03283620535920689,0.006738408930906165,real
2015-09-13,10768,81025,303116,9112,1656,10736,236,62,0.03552435371277003,0.005757800891530461,real
2015-09-14,13388,82063,307349,11075,2313,13345,304,94,0.043559601625513665,0.007021213026590977,real
2015-09-15,12686,81941,310143,10367,2319,12646,301,89,0.04090371215858491,0.007015607756582059,real
2015-09-16,6824,76253,305037,5612,1212,6786,193,70,0.022371056625917513,0.010257913247362251,real
2015-09-17,6270,69048,299350,5105,1165,6231,152,32,0.020945381660263905,0.005103668261562998,real
2015-09-18,1016,57875,289422,780,236,1012,24,8,0.0035104449558084733,0.007874015748031496,real
