cohort_week,week_number,cohort_size,retained_visitors,retention_rate,data_origin
2015-07-13,2,80561,1041,0.012921885279477663,real
2015-07-13,3,80561,719,0.008924914040292449,real
2015-07-13,4,80561,539,0.006690582291679597,real
2015-07-13,5,80561,504,0.006256128896115987,real
2015-07-13,6,80561,458,0.005685133004803813,real
2015-07-13,7,80561,388,0.004816226213676593,real
2015-07-13,8,80561,408,0.005064485296855799,real
2015-07-20,0,88259,88259,1.0,real
2015-07-20,1,88259,2816,0.03190609456259418,real
2015-07-20,2,88259,1101,0.012474648477775638,real
2015-07-20,3,88259,777,0.008803634756795341,real
2015-07-20,4,88259,645,0.0073080365741737385,real
2015-07-20,5,88259,543,0.006152347069420683,real
2015-07-20,6,88259,457,0.0051779421928641834,real
2015-07-20,7,88259,509,0.0057671172345029964,real
2015-07-27,0,73190,73190,1.0,real
2015-07-27,1,73190,1920,0.02623309195245252,real
2015-07-27,2,73190,873,0.011927858997130756,real
2015-07-27,3,73190,705,0.00963246345129116,real
2015-07-27,4,73190,585,0.007992895204262877,real
2015-07-27,5,73190,485,0.006626588331739309,real
2015-07-27,6,73190,452,0.006175707063806531,real
2015-08-03,0,67081,67081,1.0,real
2015-08-03,1,67081,1787,0.026639435905845173,real
2015-08-03,2,67081,865,0.012894858454704014,real
2015-08-03,3,67081,621,0.009257464855920454,real
2015-08-03,4,67081,515,0.007677285669563662,real
2015-08-03,5,67081,561,0.00836302380703925,real
2015-08-10,0,64289,64289,1.0,real
2015-08-10,1,64289,1919,0.029849585465631757,real
2015-08-10,2,64289,877,0.013641524988722798,real
2015-08-10,3,64289,546,0.008492899251816018,real
2015-08-10,4,64289,549,0.008539563533419402,real
2015-08-17,0,65260,65260,1.0,real
2015-08-17,1,65260,1934,0.029635304934109714,real
2015-08-17,2,65260,907,0.01389825314128103,real
2015-08-17,3,65260,721,0.011048115231382164,real
2015-08-24,0,65332,65332,1.0,real
2015-08-24,1,65332,1837,0.028117920773893346,real
2015-08-24,2,65332,935,0.01431151656156248,real
2015-08-31,0,62325,62325,1.0,real
2015-08-31,1,62325,1931,0.030982751704773364,real
2015-09-07,0,71203,71203,1.0,real
