transaction_date,transaction_count,purchasing_visitors,transaction_event_count,average_distinct_items_per_transaction,median_distinct_items_per_transaction,p75_distinct_items_per_transaction,data_origin
2015-06-08,152,109,192,1.256578947368421,1.0,1.0,real
2015-06-09,116,79,132,1.1293103448275863,1.0,1.0,real
2015-06-10,163,115,210,1.2883435582822085,1.0,1.0,real
2015-06-11,115,82,157,1.3652173913043477,1.0,1.0,real
2015-06-12,91,61,107,1.1758241758241759,1.0,1.0,real
2015-06-13,53,44,60,1.1132075471698113,1.0,1.0,real
2015-06-14,77,62,108,1.3766233766233766,1.0,1.0,real
2015-06-15,165,112,191,1.1575757575757575,1.0,1.0,real
2015-06-16,216,163,276,1.2685185185185186,1.0,1.0,real
2015-06-17,204,158,269,1.2990196078431373,1.0,1.0,real
2015-06-18,166,134,220,1.2650602409638554,1.0,1.0,real
2015-06-19,129,86,166,1.2635658914728682,1.0,1.0,real
2015-06-20,76,56,111,1.4342105263157894,1.0,1.0,real
2015-06-21,68,56,83,1.2205882352941178,1.0,1.0,real
2015-06-22,202,144,234,1.1584158415841583,1.0,1.0,real
2015-06-23,198,146,250,1.2626262626262625,1.0,1.0,real
2015-06-24,153,109,177,1.1568627450980393,1.0,1.0,real
2015-06-25,170,130,204,1.1823529411764706,1.0,1.0,real
2015-06-26,145,109,177,1.193103448275862,1.0,1.0,real
2015-06-27,76,53,91,1.1973684210526316,1.0,1.0,real
2015-06-28,76,57,89,1.1710526315789473,1.0,1.0,real
2015-06-29,167,126,203,1.215568862275449,1.0,1.0,real
2015-06-30,128,96,162,1.265625,1.0,1.0,real
2015-07-01,169,124,195,1.1479289940828403,1.0,1.0,real
2015-07-02,135,101,155,1.1481481481481481,1.0,1.0,real
2015-07-03,122,95,155,1.2540983606557377,1.0,1.0,real
2015-07-04,81,60,119,1.4567901234567902,1.0,1.0,real
2015-07-05,79,57,100,1.2025316455696202,1.0,1.0,real
2015-07-06,170,129,219,1.2882352941176471,1.0,1.0,real
2015-07-07,178,136,247,1.3764044943820224,1.0,1.0,real
2015-07-08,188,136,259,1.3457446808510638,1.0,1.0,real
2015-07-09,170,124,207,1.2176470588235293,1.0,1.0,real
2015-07-10,135,102,181,1.325925925925926,1.0,1.0,real
2015-07-11,74,58,98,1.3243243243243243,1.0,1.0,real
2015-07-12,77,59,91,1.1688311688311688,1.0,1.0,real
2015-07-13,173,134,216,1.2254335260115607,1.0,1.0,real
2015-07-14,163,120,231,1.4110429447852761,1.0,1.0,real
2015-07-15,157,110,216,1.375796178343949,1.0,1.0,real
2015-07-16,158,113,239,1.4683544303797469,1.0,1.0,real
2015-07-17,101,75,139,1.3762376237623761,1.0,1.0,real
2015-07-18,84,59,102,1.2023809523809523,1.0,1.0,real
2015-07-19,95,73,116,1.2210526315789474,1.0,1.0,real
2015-07-20,183,138,232,1.2677595628415301,1.0,1.0,real
2015-07-21,187,130,227,1.2032085561497325,1.0,1.0,real
2015-07-22,205,139,267,1.2975609756097561,1.0,1.0,real
2015-07-23,164,115,234,1.420731707317073,1.0,1.0,real
2015-07-24,109,71,137,1.2568807339449541,1.0,1.0,real
2015-07-25,84,60,116,1.369047619047619,1.0,1.0,real
2015-07-26,101,76,144,1.4257425742574257,1.0,1.0,real
2015-07-27,201,141,267,1.328358208955224,1.0,1.0,real
2015-07-28,212,158,273,1.2877358490566038,1.0,1.0,real
2015-07-29,194,137,240,1.231958762886598,1.0,1.0,real
2015-07-30,156,117,214,1.358974358974359,1.0,1.0,real
2015-07-31,136,93,166,1.2205882352941178,1.0,1.0,real
2015-08-01,67,51,79,1.1791044776119404,1.0,1.0,real
2015-08-02,85,68,105,1.223529411764706,1.0,1.0,real
2015-08-03,154,118,198,1.2857142857142858,1.0,1.0,real
2015-08-04,172,130,209,1.2093023255813953,1.0,1.0,real
2015-08-05,186,137,237,1.2688172043010753,1.0,1.0,real
2015-08-06,112,84,127,1.1339285714285714,1.0,1.0,real
2015-08-07,136,99,175,1.2794117647058822,1.0,1.0,real
2015-08-08,43,36,67,1.558139534883721,1.0,1.0,real
2015-08-09,50,44,60,1.2,1.0,1.0,real
2015-08-10,95,68,129,1.3578947368421053,1.0,1.0,real
2015-08-11,111,89,129,1.1531531531531531,1.0,1.0,real
2015-08-12,135,93,195,1.4370370370370371,1.0,1.0,real
2015-08-13,122,81,177,1.4098360655737705,1.0,1.0,real
2015-08-14,104,87,112,1.0769230769230769,1.0,1.0,real
2015-08-15,68,48,92,1.338235294117647,1.0,1.0,real
2015-08-16,73,56,78,1.0684931506849316,1.0,1.0,real
2015-08-17,172,125,209,1.2034883720930232,1.0,1.0,real
2015-08-18,163,115,201,1.2331288343558282,1.0,1.0,real
2015-08-19,167,118,219,1.3053892215568863,1.0,1.0,real
2015-08-20,152,114,208,1.368421052631579,1.0,1.0,real
2015-08-21,112,75,132,1.1785714285714286,1.0,1.0,real
2015-08-22,74,63,91,1.2297297297297298,1.0,1.0,real
2015-08-23,78,66,94,1.205128205128205,1.0,1.0,real
2015-08-24,142,109,179,1.2535211267605635,1.0,1.0,real
2015-08-25,134,100,165,1.2238805970149254,1.0,1.0,real
2015-08-26,156,111,205,1.314102564102564,1.0,1.0,real
2015-08-27,168,113,210,1.25,1.0,1.0,real
2015-08-28,114,88,152,1.3245614035087718,1.0,1.0,real
2015-08-29,64,54,77,1.203125,1.0,1.0,real
2015-08-30,116,101,146,1.2586206896551724,1.0,1.0,real
2015-08-31,135,107,175,1.288888888888889,1.0,1.0,real
2015-09-01,118,82,158,1.3305084745762712,1.0,1.0,real
2015-09-02,111,88,141,1.2702702702702702,1.0,1.0,real
2015-09-03,97,82,138,1.3814432989690721,1.0,1.0,real
2015-09-04,113,83,153,1.3539823008849559,1.0,1.0,real
2015-09-05,71,56,80,1.1267605633802817,1.0,1.0,real
2015-09-06,62,54,79,1.2741935483870968,1.0,1.0,real
2015-09-07,136,115,189,1.3823529411764706,1.0,1.0,real
2015-09-08,127,101,148,1.1653543307086613,1.0,1.0,real
2015-09-09,159,120,192,1.20125786163522,1.0,1.0,real
2015-09-10,138,108,181,1.3115942028985508,1.0,1.0,real
2015-09-11,140,106,211,1.4142857142857144,1.0,1.0,real
2015-09-12,91,67,102,1.10989010989011,1.0,1.0,real
2015-09-13,76,62,88,1.1578947368421053,1.0,1.0,real
2015-09-14,135,94,154,1.1407407407407408,1.0,1.0,real
2015-09-15,121,89,158,1.3057851239669422,1.0,1.0,real
2015-09-16,100,70,137,1.36,1.0,1.0,real
2015-09-17,41,32,45,1.0975609756097562,1.0,1.0,real
2015-09-18,11,8,15,1.3636363636363635,1.0,1.0,real
