categoryid,parentid,root_categoryid,depth,view_session_count,cart_session_count,converted_session_count,viewing_visitor_count,distinct_transaction_count,session_conversion_rate,conversion_wilson_low_95,conversion_wilson_high_95,sibling_conversion_median,sibling_conversion_gap,category_opportunity_score,meets_sample_threshold,is_opportunity_candidate,eligible_sibling_count,data_origin
1577,362,431,2,157,0,0,145,0,0.0,0.0,0.023883511433308864,0.0,0.0,0.0,false,false,6,real
512,362,431,2,159,0,0,147,0,0.0,0.0,0.023590176902824132,0.0,0.0,0.0,false,false,6,real
273,362,431,2,29,0,0,28,0,0.0,0.0,0.11696979849974075,0.0,0.0,0.0,false,false,6,real
674,362,431,2,1,0,0,1,0,0.0,0.0,0.7934506856227626,0.0,0.0,0.0,false,false,6,real
301,362,431,2,1,0,0,1,0,0.0,0.0,0.7934506856227626,0.0,0.0,0.0,false,false,6,real
1342,362,431,2,209,0,0,171,0,0.0,0.0,0.018048451847580686,0.0,0.0,0.0,true,false,6,real
1419,362,431,2,65,0,0,62,0,0.0,0.0,0.05580153132285689,0.0,0.0,0.0,false,false,6,real
598,362,431,2,570,0,0,487,0,0.0,0.0,0.006694285959381073,0.0,0.0,0.0,true,false,6,real
492,362,431,2,11,0,0,11,0,0.0,0.0,0.2588329669680317,0.0,0.0,0.0,false,false,6,real
1432,362,431,2,169,0,0,150,0,0.0,0.0,0.022225332087015413,0.0,0.0,0.0,false,false,6,real
952,362,431,2,285,0,0,244,0,0.0,0.0,0.01329954098825824,0.0,0.0,0.0,true,false,6,real
111,362,431,2,100,0,0,90,0,0.0,0.0,0.03699349820698568,0.0,0.0,0.0,false,false,6,real
278,362,431,2,117,0,0,111,0,0.0,0.0,0.03178924566273338,0.0,0.0,0.0,false,false,6,real
189,586,140,3,83,0,0,76,0,0.0,0.0,0.04423530964197384,,,0.0,false,false,0,real
660,586,140,3,169,7,2,140,2,0.011834319526627219,0.0032514194936283467,0.042116508283635216,,,0.0,false,false,0,real
511,724,250,2,407,15,5,377,7,0.012285012285012284,0.005258527856217969,0.028431983467603984,0.012285012285012284,0.0,0.0,true,false,1,real
363,994,755,2,114,0,0,106,0,0.0,0.0,0.03259853415884162,,,0.0,false,false,0,real
864,994,755,2,52,0,0,47,0,0.0,0.0,0.06879223612386234,,,0.0,false,false,0,real
10,994,755,2,2,0,0,2,0,0.0,0.0,0.6576197724933469,,,0.0,false,false,0,real
531,1058,140,3,3802,125,47,3414,54,0.012361914781693845,0.009309314585161637,0.01639891837181813,0.015330088223417828,0.002968173441723983,11.284995425434584,true,false,2,real
473,1058,140,3,1093,40,20,1010,27,0.018298261665141813,0.011876106990489566,0.028094536413008093,0.015330088223417828,-0.002968173441723985,0.0,true,false,2,real
848,1228,140,4,41,2,0,41,0,0.0,0.0,0.08566757018443186,0.013303769401330377,0.013303769401330377,0.5454545454545454,false,false,1,real
838,1228,140,4,143,11,2,127,3,0.013986013986013986,0.003843886630340057,0.049556964080828714,0.013303769401330377,-0.0006822445846836091,0.0,false,false,1,real
1085,1228,140,4,902,28,12,820,16,0.013303769401330377,0.007626447153847653,0.02310901825192064,0.013303769401330377,0.0,0.0,true,false,1,real
15,1327,1057,3,1,0,0,1,0,0.0,0.0,0.7934506856227626,,,0.0,false,false,0,real
1449,1439,755,2,3,0,0,3,0,0.0,0.0,0.5614970317550455,,,0.0,false,false,0,real
806,1497,1490,2,5372,143,31,4777,37,0.00577066269545793,0.004068464594758667,0.008179191762863506,0.004237904057912667,-0.0015327586375452635,0.0,true,false,4,real
1188,1497,1490,2,4825,64,7,4278,9,0.001450777202072539,0.0007029413495305044,0.002991828705117633,0.004237904057912667,0.002787126855840128,13.447887079428618,true,false,4,real
333,1497,1490,2,12663,332,52,11068,64,0.0041064518676458975,0.0031330696520595683,0.005380612244984902,0.004237904057912667,0.00013145219026676914,1.6645790853480975,true,false,4,real
1116,1497,1490,2,155,9,0,136,2,0.0,0.0,0.024184232814371848,0.004237904057912667,0.004237904057912667,0.6568751289764634,false,false,4,real
56,1497,1490,2,6866,143,30,6077,31,0.004369356248179435,0.003062399781224392,0.006230603442121235,0.004237904057912667,-0.00013145219026676827,0.0,true,false,4,real
1676,1618,1600,3,83,6,1,78,2,0.012048192771084338,0.002129977428108269,0.06513580668032404,0.01171875,-0.000329442771084338,0.0,false,false,1,real
135,1618,1600,3,256,8,3,233,3,0.01171875,0.003993287123007759,0.033881572667882304,0.01171875,0.0,0.0,true,false,1,real
1321,1618,1600,3,149,7,1,137,2,0.006711409395973154,0.0011857126133513257,0.03703336005034936,0.01171875,0.005007340604026846,0.74609375,false,false,1,real
1275,1618,1600,3,29,9,0,28,3,0.0,0.0,0.11696979849974075,0.01171875,0.01171875,0.33984375,false,false,1,real
1380,1618,1600,3,39,0,0,37,0,0.0,0.0,0.08966685370757144,0.01171875,0.01171875,0.45703125,false,false,1,real
1563,121,140,3,61,1,0,53,0,0.0,0.0,0.059243867898112826,0.01977186311787072,0.01977186311787072,1.206083650190114,false,false,5,real
1411,121,140,3,3,0,0,3,0,0.0,0.0,0.5614970317550455,0.01977186311787072,0.01977186311787072,0.05931558935361216,false,false,5,real
1642,121,140,3,1315,71,26,1119,30,0.01977186311787072,0.013528105171371952,0.028813192523824447,0.01977186311787072,0.0,0.0,true,false,5,real
1390,121,140,3,1784,72,28,1570,32,0.01569506726457399,0.010881025564664974,0.022590319741404324,0.01977186311787072,0.0040767958532967295,7.273003802281366,true,false,5,real
1349,121,140,3,3005,138,64,2560,77,0.02129783693843594,0.016714215595304137,0.027103798954511645,0.01977186311787072,-0.0015259738205652199,0.0,true,false,5,real
563,121,140,3,43,2,0,37,0,0.0,0.0,0.08200980322579117,0.01977186311787072,0.01977186311787072,0.850190114068441,false,false,5,real
1228,121,140,3,1805,56,18,1543,23,0.009972299168975069,0.006317222729774836,0.015708731300861693,0.01977186311787072,0.009799563948895652,17.688212927756652,true,false,5,real
1219,121,140,3,6025,373,130,5108,148,0.021576763485477178,0.018201310106056124,0.025561900557689598,0.01977186311787072,-0.0018049003676064573,0.0,true,false,5,real
123,214,1394,3,477,0,0,432,0,0.0,0.0,0.007989034119719294,0.0,0.0,0.0,true,false,2,real
564,214,1394,3,385,0,0,367,0,0.0,0.0,0.009879241869796428,0.0,0.0,0.0,true,false,2,real
914,226,1532,3,5151,132,68,4517,83,0.013201320132013201,0.01042728591895124,0.016700892500853458,0.013201320132013201,0.0,0.0,true,false,3,real
1043,226,1532,3,1243,50,20,1069,56,0.016090104585679808,0.010439719271342372,0.024722296324578622,0.013201320132013201,-0.002888784453666606,0.0,true,false,3,real
634,226,1532,3,169,7,4,146,4,0.023668639053254437,0.009241881068595198,0.05926864239891652,0.013201320132013201,-0.010467318921241236,0.0,false,false,3,real
677,226,1532,3,235,4,2,219,3,0.00851063829787234,0.002337035157692965,0.030494194643917644,0.013201320132013201,0.004690681834140861,1.1023102310231023,true,false,3,real
568,384,140,2,1974,58,18,1784,21,0.00911854103343465,0.005775680317997411,0.014368228913458356,0.00911854103343465,0.0,0.0,true,false,1,real
1458,384,140,2,2,0,0,2,0,0.0,0.0,0.6576197724933469,0.00911854103343465,0.00911854103343465,0.0182370820668693,false,false,1,real
988,727,378,2,2324,19,12,2079,12,0.0051635111876075735,0.0029562352248211,0.00900396881536249,0.004322399632097956,-0.0008411115555096178,0.0,true,false,2,real
1118,727,378,2,54,0,0,53,0,0.0,0.0,0.0664135880908964,0.004322399632097956,0.004322399632097956,0.2334095801332896,false,false,2,real
1535,727,378,2,1149,13,4,1024,6,0.0034812880765883376,0.0013546124374301455,0.008916929004883539,0.004322399632097956,0.0008411115555096182,0.9664371772805513,true,false,2,real
1151,781,1600,4,1111,83,26,842,28,0.023402340234023402,0.01601970349792187,0.03406944449605796,0.023402340234023402,0.0,0.0,true,false,3,real
758,781,1600,4,242,7,6,224,7,0.024793388429752067,0.011411458103998856,0.05302624453853299,0.023402340234023402,-0.0013910481957286648,0.0,true,false,3,real
748,781,1600,4,19,0,0,18,0,0.0,0.0,0.16817922405261626,0.023402340234023402,0.023402340234023402,0.4446444644464446,false,false,3,real
549,781,1600,4,414,14,5,388,5,0.012077294685990338,0.0051694301038633355,0.027956671982224374,0.023402340234023402,0.011325045548033064,4.688568856885689,true,false,3,real
1351,795,250,2,278,1,0,265,0,0.0,0.0,0.013629857142976395,0.0,0.0,0.0,true,false,1,real
220,795,250,2,77,0,0,74,0,0.0,0.0,0.04751842528243408,0.0,0.0,0.0,false,false,1,real
134,1028,140,3,18,3,0,18,0,0.0,0.0,0.17587922364665765,0.0027701846789785984,0.0027701846789785984,0.04986332422161477,false,false,2,real
1367,1028,140,3,11,2,1,11,1,0.09090909090909091,0.01623217288588484,0.37735843645159567,0.0027701846789785984,-0.08813890623011231,0.0,false,false,2,real
662,1028,140,3,20,3,1,19,1,0.05,0.008881448800795402,0.23613119344674208,0.0027701846789785984,-0.047229815321021405,0.0,false,false,2,real
159,1028,140,3,795,17,3,733,6,0.0037735849056603774,0.0012841715498110228,0.011035493024462299,0.0027701846789785984,-0.001003400226681779,0.0,true,false,2,real
229,1028,140,3,566,9,1,550,1,0.0017667844522968198,0.00031194895050163106,0.00993907566392923,0.0027701846789785984,0.0010034002266817786,0.5679245283018867,true,false,2,real
1093,1101,250,3,59,6,2,54,2,0.03389830508474576,0.00934590909166131,0.11543570750110753,,,0.0,false,false,0,real
708,1101,250,3,5,1,0,5,0,0.0,0.0,0.43448246478317476,,,0.0,false,false,0,real
88,1101,250,3,3,0,0,3,0,0.0,0.0,0.5614970317550455,,,0.0,false,false,0,real
449,1139,679,2,285,23,4,258,4,0.014035087719298246,0.005471148174372578,0.03552524780368894,0.014035087719298246,0.0,0.0,true,false,3,real
550,1139,679,2,330,5,0,312,1,0.0,0.0,0.011506835712569085,0.014035087719298246,0.014035087719298246,4.631578947368421,true,false,3,real
310,1139,679,2,529,39,13,458,14,0.024574669187145556,0.014416822186408504,0.04158756397141867,0.014035087719298246,-0.01053958146784731,0.0,true,false,3,real
258,1139,679,2,105,1,0,98,0,0.0,0.0,0.035294076929109894,0.014035087719298246,0.014035087719298246,1.4736842105263157,false,false,3,real
966,1157,395,3,1,0,0,1,0,0.0,0.0,0.7934506856227626,,,0.0,false,false,0,real
96,1290,140,3,21,0,0,20,0,0.0,0.0,0.154639018924847,0.011191351540616247,0.011191351540616247,0.23501838235294117,false,false,2,real
172,1290,140,3,448,8,3,372,4,0.006696428571428571,0.002279950166667115,0.01950082853031285,0.011191351540616247,0.004494922969187676,2.013725490196079,true,false,2,real
343,1290,140,3,1020,38,16,848,28,0.01568627450980392,0.009678219458823478,0.025328625118439394,0.011191351540616247,-0.004494922969187675,0.0,true,false,2,real
1366,1292,140,3,175,16,8,157,11,0.045714285714285714,0.02334343902195597,0.08760096364357535,,,0.0,false,false,0,real
1622,1292,140,3,8,0,0,8,0,0.0,0.0,0.32440756488388023,,,0.0,false,false,0,real
1209,1292,140,3,156,4,4,151,4,0.02564102564102564,0.010015466073008985,0.0640670586240257,,,0.0,false,false,0,real
585,1292,140,3,49,0,0,47,0,0.0,0.0,0.07269781922049638,,,0.0,false,false,0,real
796,1292,140,3,6,0,0,5,0,0.0,0.0,0.39033428790216534,,,0.0,false,false,0,real
24,1292,140,3,14,1,1,14,1,0.07142857142857142,0.012722215247890944,0.31468704424151117,,,0.0,false,false,0,real
1478,1632,1579,3,50,0,0,46,0,0.0,0.0,0.07134759913335872,,,0.0,false,false,0,real
40,1632,1579,3,9,0,0,9,0,0.0,0.0,0.2991450484195441,,,0.0,false,false,0,real
455,1678,1698,2,116,0,0,109,0,0.0,0.0,0.032054506499638716,0.0117442366246194,0.0117442366246194,1.3623314484558504,false,false,3,real
1346,1678,1698,2,103,3,2,93,2,0.019417475728155338,0.005341225274178379,0.06805218312034754,0.0117442366246194,-0.007673239103535939,0.0,false,false,3,real
1554,1678,1698,2,642,29,13,575,16,0.020249221183800622,0.0118712970898642,0.034334251366539635,0.0117442366246194,-0.008504984559181222,0.0,true,false,3,real
52,1678,1698,2,374,13,4,322,4,0.0106951871657754,0.004166791421355129,0.027172963770288692,0.0117442366246194,0.001049049458843999,0.39234449760765566,true,false,3,real
29,1678,1698,2,2299,82,27,1954,30,0.0117442366246194,0.008083862048273282,0.01703356781175506,0.0117442366246194,0.0,0.0,true,false,3,real
536,1691,1579,3,6,0,0,5,0,0.0,0.0,0.39033428790216534,,,0.0,false,false,0,real
423,47,1482,3,10,0,0,10,0,0.0,0.0,0.2775327998628892,,,0.0,false,false,0,real
1015,131,140,3,126,0,0,111,0,0.0,0.0,0.02958576448219845,0.00463678516228748,0.00463678516228748,0.5842349304482225,false,false,3,real
223,131,140,3,56,2,1,51,1,0.017857142857142856,0.003159210341974673,0.09445637149397577,0.00463678516228748,-0.013220357694855377,0.0,false,false,3,real
185,131,140,3,492,14,1,428,2,0.0020325203252032522,0.0003588798928326806,0.011422020467107797,0.00463678516228748,0.002604264837084228,1.2812982998454403,true,false,3,real
1094,131,140,3,46,1,0,43,1,0.0,0.0,0.07707356308558039,0.00463678516228748,0.00463678516228748,0.21329211746522408,false,false,3,real
315,131,140,3,108,0,0,103,0,0.0,0.0,0.034347359746557025,0.00463678516228748,0.00463678516228748,0.5007727975270478,false,false,3,real
1435,131,140,3,150,5,0,125,0,0.0,0.0,0.0249702443680766,0.00463678516228748,0.00463678516228748,0.695517774343122,false,false,3,real
374,131,140,3,1294,32,6,1154,11,0.00463678516228748,0.0021267606999296595,0.01007924390335119,0.00463678516228748,0.0,0.0,true,false,3,real
983,131,140,3,59,1,0,53,1,0.0,0.0,0.06112937052678839,0.00463678516228748,0.00463678516228748,0.27357032457496133,false,false,3,real
617,131,140,3,688,16,4,616,7,0.005813953488372093,0.0022631871026184656,0.014852668950412755,0.00463678516228748,-0.0011771683260846126,0.0,true,false,3,real
138,426,1600,3,11,0,0,11,0,0.0,0.0,0.2588329669680317,0.005836139169472503,0.005836139169472503,0.06419753086419752,false,false,1,real
535,426,1600,3,4455,125,26,3583,31,0.005836139169472503,0.003985926614627025,0.008537833051737847,0.005836139169472503,0.0,0.0,true,false,1,real
1276,441,378,3,594,14,6,542,8,0.010101010101010102,0.0046373753574796,0.021860383516491923,0.005797889205960955,-0.0043031208950491465,0.0,true,false,2,real
1580,441,378,3,1338,6,2,1272,2,0.0014947683109118087,0.0004100151390923094,0.005433789111512497,0.005797889205960955,0.0043031208950491465,5.757575757575758,true,false,2,real
867,441,378,3,21,0,0,19,0,0.0,0.0,0.154639018924847,0.005797889205960955,0.005797889205960955,0.12175567332518006,false,false,2,real
470,520,1600,4,1050,74,15,864,41,0.014285714285714285,0.008676192889441747,0.02343628336345169,0.014285714285714285,0.0,0.0,true,false,7,real
665,520,1600,4,976,47,23,813,30,0.0235655737704918,0.0157535388302241,0.035113321692989224,0.014285714285714285,-0.009279859484777516,0.0,true,false,7,real
122,520,1600,4,96,4,1,84,1,0.010416666666666666,0.0018411702168162514,0.056666176227157854,0.014285714285714285,0.003869047619047619,0.37142857142857144,false,false,7,real
1054,520,1600,4,1147,29,9,1035,10,0.007846556233653008,0.0041335331513866645,0.014845152968485835,0.014285714285714285,0.0064391580520612775,7.385714285714285,true,false,7,real
479,520,1600,4,1893,45,8,1626,8,0.004226096143687269,0.0021429718705273317,0.008317290229094833,0.014285714285714285,0.010059618142027016,19.04285714285714,true,false,7,real
627,520,1600,4,394,20,9,352,13,0.02284263959390863,0.012063206156066875,0.042836700167014456,0.014285714285714285,-0.008556925308194343,0.0,true,false,7,real
1254,520,1600,4,991,50,16,883,24,0.016145307769929364,0.009962113262009912,0.026065193906291396,0.014285714285714285,-0.0018595934842150792,0.0,true,false,7,real
1603,520,1600,4,949,45,11,813,12,0.011591148577449948,0.006484461260324491,0.020635956917823838,0.014285714285714285,0.0026945657082643373,2.557142857142856,true,false,7,real
136,732,1482,3,19,0,0,17,0,0.0,0.0,0.16817922405261626,,,0.0,false,false,0,real
601,732,1482,3,38,0,0,37,0,0.0,0.0,0.09180986822558396,,,0.0,false,false,0,real
1547,732,1482,3,14,0,0,14,0,0.0,0.0,0.2153108027376358,,,0.0,false,false,0,real
458,732,1482,3,8,0,0,8,0,0.0,0.0,0.32440756488388023,,,0.0,false,false,0,real
58,766,1532,3,897,1,1,842,1,0.0011148272017837235,0.0001968214898130466,0.006287625649577354,0.0031215161649944256,0.002006688963210702,1.7999999999999998,true,false,4,real
801,766,1532,3,390,11,2,356,5,0.005128205128205128,0.001407467183052066,0.018502724202523062,0.0031215161649944256,-0.0020066889632107026,0.0,true,false,4,real
1638,766,1532,3,384,1,0,360,1,0.0,0.0,0.009904714241677031,0.0031215161649944256,0.0031215161649944256,1.1986622073578594,true,false,4,real
551,766,1532,3,287,16,9,259,12,0.0313588850174216,0.01658408724531584,0.05851338650982558,0.0031215161649944256,-0.028237368852427176,0.0,true,false,4,real
344,768,653,2,4,0,0,4,0,0.0,0.0,0.4898908364545973,0.0028011204481792717,0.0028011204481792717,0.011204481792717087,false,false,1,real
494,768,653,2,1428,8,4,1294,5,0.0028011204481792717,0.0010898236889599,0.007180267072657726,0.0028011204481792717,0.0,0.0,true,false,1,real
641,768,653,2,42,2,0,38,0,0.0,0.0,0.08379879086570392,0.0028011204481792717,0.0028011204481792717,0.11764705882352941,false,false,1,real
177,768,653,2,90,0,0,82,0,0.0,0.0,0.04093562556432678,0.0028011204481792717,0.0028011204481792717,0.25210084033613445,false,false,1,real
600,768,653,2,29,0,0,29,0,0.0,0.0,0.11696979849974075,0.0028011204481792717,0.0028011204481792717,0.08123249299719888,false,false,1,real
375,768,653,2,5,0,0,5,0,0.0,0.0,0.43448246478317476,0.0028011204481792717,0.0028011204481792717,0.014005602240896359,false,false,1,real
197,768,653,2,13,0,0,13,0,0.0,0.0,0.22809537235419838,0.0028011204481792717,0.0028011204481792717,0.036414565826330535,false,false,1,real
907,768,653,2,67,1,1,56,1,0.014925373134328358,0.0026395717340788904,0.07981862319778105,0.0028011204481792717,-0.012124252686149086,0.0,false,false,1,real
1375,805,140,3,9287,266,101,7756,111,0.010875417249919242,0.008959016453451039,0.013196292054721696,0.010187938474791065,-0.000687478775128177,0.0,true,false,4,real
1173,805,140,3,12226,349,106,10043,126,0.008670047439882218,0.0071740693391748826,0.010474684289190418,0.010187938474791065,0.001517891034908847,18.557735792795565,true,false,4,real
792,805,140,3,3263,90,31,2554,33,0.009500459699662888,0.00670113269800688,0.013453337499167125,0.010187938474791065,0.000687478775128177,2.2432432432432416,true,false,4,real
1529,805,140,3,4374,271,135,3486,148,0.030864197530864196,0.026136182045686043,0.036415525547320714,0.010187938474791065,-0.02067625905607313,0.0,true,false,4,real
624,871,1224,2,2589,229,95,1967,113,0.036693704132869834,0.030110981682827196,0.04464926181808447,0.036693704132869834,0.0,0.0,true,false,3,real
126,871,1224,2,4700,309,132,3433,147,0.028085106382978724,0.023733365305857974,0.03320763943792117,0.036693704132869834,0.00860859774989111,40.46040942448822,true,false,3,real
977,871,1224,2,272,21,11,224,13,0.04044117647058824,0.022729313768625112,0.0709529736263669,0.036693704132869834,-0.0037474723377184035,0.0,true,false,3,real
766,986,1532,2,2,0,0,2,0,0.0,0.0,0.6576197724933469,0.003083247687564234,0.003083247687564234,0.006166495375128468,false,false,5,real
1318,986,1532,2,1946,68,6,1797,7,0.003083247687564234,0.001413822667000398,0.006710662915676348,0.003083247687564234,0.0,0.0,true,false,5,real
1076,986,1532,2,1939,63,4,1740,4,0.0020629190304280558,0.0008025123189495677,0.005292405393935712,0.003083247687564234,0.0010203286571361784,1.9784172661870498,true,false,5,real
562,986,1532,2,635,30,6,587,7,0.009448818897637795,0.004337469810844285,0.020459697940192992,0.003083247687564234,-0.006365571210073561,0.0,true,false,5,real
330,986,1532,2,4358,197,51,3868,75,0.011702615878843506,0.008912288602264439,0.015353026820114609,0.003083247687564234,-0.008619368191279272,0.0,true,false,5,real
499,986,1532,2,9422,179,10,8756,14,0.0010613457864572277,0.0005766199839276518,0.0019527519479950214,0.003083247687564234,0.0020219019011070063,19.050359712230215,true,false,5,real
1639,1181,140,3,770,23,1,709,5,0.0012987012987012987,0.00022928946639889786,0.007319361170123334,0.003439271663030239,0.0021405703643289403,1.648239180533284,true,false,4,real
1029,1181,140,3,2094,29,8,1868,11,0.0038204393505253103,0.0019371404448675787,0.0075208949739996025,0.003439271663030239,-0.00038116768749507125,0.0,true,false,4,real
192,1181,140,3,124,2,0,120,0,0.0,0.0,0.030048615340677695,0.003439271663030239,0.003439271663030239,0.42646968621574965,false,false,4,real
739,1181,140,3,2289,37,7,2013,9,0.0030581039755351682,0.0014821365829188779,0.006299238248758645,0.003439271663030239,0.0003811676874950708,0.8724928366762171,true,false,4,real
1314,1181,140,3,39,1,0,36,0,0.0,0.0,0.08966685370757144,0.003439271663030239,0.003439271663030239,0.13413159485817933,false,false,4,real
1196,1181,140,3,2846,89,21,2529,25,0.007378777231201687,0.004831296798003643,0.01125432041372153,0.003439271663030239,-0.003939505568171448,0.0,true,false,4,real
1324,1181,140,3,66,14,2,53,2,0.030303030303030304,0.00834991019865375,0.10392521911709715,0.003439271663030239,-0.026863758640000065,0.0,false,false,4,real
34,1368,140,3,5374,151,71,4332,81,0.013211760327502792,0.010488070903711297,0.016630887499475933,0.013211760327502792,0.0,0.0,true,false,5,real
1652,1368,140,3,726,29,11,667,12,0.015151515151515152,0.008481061246421041,0.02692588708239786,0.013211760327502792,-0.0019397548240123602,0.0,true,false,5,real
1248,1368,140,3,9281,324,100,8098,131,0.010774701002047193,0.008867417867035257,0.01308680286196197,0.013211760327502792,0.0024370593254555983,22.61834759955341,true,false,5,real
471,1368,140,3,2375,85,18,2093,27,0.007578947368421052,0.004799444751786121,0.011948816748770312,0.013211760327502792,0.0056328129590817394,13.377930777819131,true,false,5,real
1103,1368,140,3,1088,65,38,944,42,0.034926470588235295,0.025550559029682885,0.047574946670505006,0.013211760327502792,-0.021714710260732503,0.0,true,false,5,real
1150,1368,140,3,47,1,0,41,0,0.0,0.0,0.07555760416399632,0.013211760327502792,0.013211760327502792,0.6209527353926312,false,false,5,real
191,1383,140,3,2741,150,61,2291,76,0.02225465158701204,0.017364513672794474,0.028482017250256075,0.00989451492695843,-0.01236013666005361,0.0,true,false,4,real
1284,1383,140,3,66,4,2,61,3,0.030303030303030304,0.00834991019865375,0.10392521911709715,0.00989451492695843,-0.020408515376071874,0.0,false,false,4,real
1393,1383,140,3,9794,263,87,8815,115,0.008882989585460487,0.007207680274039458,0.010943405306202192,0.00989451492695843,0.0010115253414979437,9.90687919463086,true,false,4,real
979,1383,140,3,1143,22,6,986,7,0.005249343832020997,0.0024079756805414788,0.011405144431966503,0.00989451492695843,0.004645171094937433,5.309430561513486,true,false,4,real
1106,1383,140,3,197,10,1,183,4,0.005076142131979695,0.0008966264365875955,0.02818829883229936,0.00989451492695843,0.004818372794978735,0.9492194406108109,false,false,4,real
469,1383,140,3,1192,48,13,1065,18,0.010906040268456376,0.006384529382795374,0.018569831080775565,0.00989451492695843,-0.0010115253414979455,0.0,true,false,4,real
1548,1499,653,3,11,0,0,9,0,0.0,0.0,0.2588329669680317,0.013266998341625208,0.013266998341625208,0.14593698175787728,false,false,3,real
